NAME,#,MIRIAM,SHORT NAME,COMPARTMENT,ensembl_gene,ensembl_transcript,ensembl_protein,entrez_gene,refseq_gene,uniprot_gene
ENSMUSG00000032114,,,,,ENSMUSG00000032114,ENSMUST00000165839; ENSMUST00000213268; ENSMUST00000213388; ENSMUST00000213626; ENSMUST00000215001; ENSMUST00000215121; ENSMUST00000215420,ENSMUSP00000129564; ENSMUSP00000148956; ENSMUSP00000150753; ENSMUSP00000150843; ENSMUSP00000150902; ENSMUSP00000151004,14385,NC_000075.7,A0A1L1SUI3;Q9D1F9;A0A1L1SV42;A0A1L1SUV7
ENSMUSG00000032116,,,,,ENSMUSG00000032116,ENSMUST00000120381; ENSMUST00000128270; ENSMUST00000133060; ENSMUST00000135934; ENSMUST00000137994; ENSMUST00000138358; ENSMUST00000143881; ENSMUST00000215998; ENSMUST00000217599,ENSMUSP00000113116; ENSMUSP00000114527; ENSMUSP00000117794; ENSMUSP00000120360; ENSMUSP00000149855,16430,NC_000075.7,P46978;Q3U573
ENSMUSG00000032123,,,,,ENSMUSG00000032123,ENSMUST00000054708; ENSMUST00000213461; ENSMUST00000215050; ENSMUST00000215248; ENSMUST00000216327; ENSMUST00000217225,ENSMUSP00000056282; ENSMUSP00000150178; ENSMUSP00000150465,13478,NC_000075.7,P42867;Q9CPT1
ENSMUSG00000032126,,,,,ENSMUSG00000032126,ENSMUST00000077353; ENSMUST00000097558; ENSMUST00000214012; ENSMUST00000214967; ENSMUST00000215091; ENSMUST00000215859; ENSMUST00000215934; ENSMUST00000216658; ENSMUST00000216852,ENSMUSP00000076575; ENSMUSP00000095166; ENSMUSP00000149522; ENSMUSP00000150138; ENSMUSP00000150673,15288,NC_000075.7,P22907;Q3UBC6;Q3UPG1
ENSMUSG00000032177,,,,,ENSMUSG00000032177,ENSMUST00000003395; ENSMUST00000039413; ENSMUST00000115458; ENSMUST00000131769; ENSMUST00000140440,ENSMUSP00000003395; ENSMUSP00000037025; ENSMUSP00000111118,18577,NC_000075.7,O89084;Q3TUD0;B2RTL2
ENSMUSG00000032185,,,,,ENSMUSG00000032185,ENSMUST00000034703; ENSMUST00000115394; ENSMUST00000115395; ENSMUST00000130032; ENSMUST00000130100; ENSMUST00000132011; ENSMUST00000139871; ENSMUST00000147749; ENSMUST00000154049; ENSMUST00000216160,ENSMUSP00000034703; ENSMUSP00000111052; ENSMUSP00000111053; ENSMUSP00000117243; ENSMUSP00000150181,59035,NC_000075.7,Q9WVG6
ENSMUSG00000032204,,,,,ENSMUSG00000032204,ENSMUST00000060917; ENSMUST00000074465; ENSMUST00000113570; ENSMUST00000133239; ENSMUST00000135892; ENSMUST00000136798; ENSMUST00000138364; ENSMUST00000139495; ENSMUST00000144618; ENSMUST00000153050,ENSMUSP00000050127; ENSMUSP00000074063; ENSMUSP00000109200; ENSMUSP00000116785,64008,NC_000075.7,Q9JJJ3;Q4FK77;D3YYD6;E9Q8P3
ENSMUSG00000032207,,,,,ENSMUSG00000032207,ENSMUST00000034731; ENSMUST00000214995; ENSMUST00000215814; ENSMUST00000216798,ENSMUSP00000034731; ENSMUSP00000149185; ENSMUSP00000149638,15450,NC_000075.7,P27656;A0A1L1SRU8;Q3TYU0
ENSMUSG00000032216,,,,,ENSMUSG00000032216,ENSMUST00000034740; ENSMUST00000183375; ENSMUST00000183451; ENSMUST00000184020; ENSMUST00000184180; ENSMUST00000184287; ENSMUST00000184333; ENSMUST00000184386; ENSMUST00000184450; ENSMUST00000184737; ENSMUST00000238315; ENSMUST00000238368,ENSMUSP00000034740; ENSMUSP00000138852; ENSMUSP00000138983; ENSMUSP00000139190; ENSMUSP00000139297; ENSMUSP00000158642; ENSMUSP00000158796,17999,NC_000075.7,P46935;B2RSC8
ENSMUSG00000032226,,,,,ENSMUSG00000032226,ENSMUST00000034751,ENSMUSP00000034751,72077,NC_000075.7,Q5JCT0
ENSMUSG00000032238,,,,,ENSMUSG00000032238,ENSMUST00000034766; ENSMUST00000113624; ENSMUST00000132355; ENSMUST00000140351; ENSMUST00000143507; ENSMUST00000174296,ENSMUSP00000034766; ENSMUSP00000109254; ENSMUSP00000134291,19883,NC_000075.7,P51448;Q8C3F5;Q3U1P4
ENSMUSG00000032252,,,,,ENSMUSG00000032252,ENSMUST00000034785; ENSMUST00000185510; ENSMUST00000185675; ENSMUST00000185873; ENSMUST00000186514,ENSMUSP00000034785; ENSMUSP00000139949; ENSMUSP00000140671,93683,NC_000075.7,Q9EPS3
ENSMUSG00000032262,,,,,ENSMUSG00000032262,ENSMUST00000034796; ENSMUST00000183614,ENSMUSP00000034796; ENSMUSP00000139163,83603,NC_000075.7,Q9EQC4
ENSMUSG00000032263,,,,,ENSMUSG00000032263,ENSMUST00000034801; ENSMUST00000186136; ENSMUST00000188200; ENSMUST00000189819; ENSMUST00000190166; ENSMUST00000190637,ENSMUSP00000034801; ENSMUSP00000139684; ENSMUSP00000140598,12040,NC_000075.7,Q6P3A8
ENSMUSG00000032267,,,,,ENSMUSG00000032267,ENSMUST00000047349; ENSMUST00000213457; ENSMUST00000213874; ENSMUST00000215118; ENSMUST00000215378; ENSMUST00000215788; ENSMUST00000215850; ENSMUST00000215856; ENSMUST00000216607; ENSMUST00000216657,ENSMUSP00000047467; ENSMUSP00000149207; ENSMUSP00000150005; ENSMUSP00000150707,235323,NC_000075.7,Q5I043
ENSMUSG00000032271,,,,,ENSMUSG00000032271,ENSMUST00000034808; ENSMUST00000119426; ENSMUST00000126109; ENSMUST00000128076; ENSMUST00000136813,ENSMUSP00000034808; ENSMUSP00000112381,18113,NC_000075.7,O55239;D3YX59;Q9D9X3
ENSMUSG00000032274,,,,,ENSMUSG00000032274,ENSMUST00000034811; ENSMUST00000214358; ENSMUST00000215736; ENSMUST00000216974; ENSMUST00000217040,ENSMUSP00000034811; ENSMUSP00000150729,13075,NC_000075.7,P28649;Q3ZAT3
ENSMUSG00000032279,,,,,ENSMUSG00000032279,ENSMUST00000167866; ENSMUST00000213729; ENSMUST00000214136; ENSMUST00000215273; ENSMUST00000217484,ENSMUSP00000127526; ENSMUSP00000149036; ENSMUSP00000150296,67834,NC_000075.7,Q9D6R2
ENSMUSG00000032281,,,,,ENSMUSG00000032281,ENSMUST00000034822; ENSMUST00000128163; ENSMUST00000128624; ENSMUST00000132914; ENSMUST00000138315,ENSMUSP00000034822; ENSMUSP00000118133; ENSMUSP00000119551; ENSMUSP00000121622,94180,NC_000075.7,Q99PU5
ENSMUSG00000032293,,,,,ENSMUSG00000032293,ENSMUST00000034843; ENSMUST00000213482; ENSMUST00000214023,ENSMUSP00000034843; ENSMUSP00000149766,64602,NC_000075.7,Q811J3
ENSMUSG00000032294,,,,,ENSMUSG00000032294,ENSMUST00000034834; ENSMUST00000163694; ENSMUST00000213220; ENSMUST00000213930; ENSMUST00000214571; ENSMUST00000215623; ENSMUST00000215660; ENSMUST00000216620; ENSMUST00000216857; ENSMUST00000217038; ENSMUST00000217353,ENSMUSP00000034834; ENSMUSP00000128770; ENSMUSP00000149206; ENSMUSP00000149983; ENSMUSP00000150188; ENSMUSP00000150509; ENSMUSP00000150578; ENSMUSP00000150901; ENSMUSP00000151199,18746,NC_000075.7,P52480
ENSMUSG00000032295,,,,,ENSMUSG00000032295,ENSMUST00000034836; ENSMUST00000159101; ENSMUST00000159130; ENSMUST00000159402; ENSMUST00000159496; ENSMUST00000159711; ENSMUST00000159843; ENSMUST00000159954; ENSMUST00000160042; ENSMUST00000160122; ENSMUST00000160147; ENSMUST00000160280; ENSMUST00000160426; ENSMUST00000160584; ENSMUST00000161182; ENSMUST00000161338; ENSMUST00000161393; ENSMUST00000161663; ENSMUST00000161696; ENSMUST00000161875; ENSMUST00000162340; ENSMUST00000162634; ENSMUST00000162915,ENSMUSP00000034836; ENSMUSP00000123840; ENSMUSP00000124005; ENSMUSP00000124020; ENSMUSP00000124124; ENSMUSP00000124304; ENSMUSP00000124378; ENSMUSP00000125186; ENSMUSP00000125277; ENSMUSP00000125478; ENSMUSP00000125549,73744,NC_000075.7,Q91W89
ENSMUSG00000032306,,,,,ENSMUSG00000032306,ENSMUST00000034856; ENSMUST00000124593; ENSMUST00000140671; ENSMUST00000145543; ENSMUST00000156428,ENSMUSP00000034856; ENSMUSP00000119342,110119,NC_000075.7,Q924M7;Q3V100
ENSMUSG00000032307,,,,,ENSMUSG00000032307,ENSMUST00000059555; ENSMUST00000121677; ENSMUST00000122441; ENSMUST00000148468,ENSMUSP00000059798; ENSMUSP00000112745; ENSMUSP00000113336,109161,NC_000075.7,Q8K2Z8;D3Z647
ENSMUSG00000032308,,,,,ENSMUSG00000032308,ENSMUST00000053230; ENSMUST00000213212; ENSMUST00000213530; ENSMUST00000215146; ENSMUST00000215748; ENSMUST00000215868; ENSMUST00000217100,ENSMUSP00000059947; ENSMUSP00000149623,71742,NC_000075.7,Q3U3Q1
ENSMUSG00000032310,,,,,ENSMUSG00000032310,ENSMUST00000034860; ENSMUST00000215792,ENSMUSP00000034860,13077,NC_000075.7,P00186;B6VGH4
ENSMUSG00000032315,,,,,ENSMUSG00000032315,ENSMUST00000034865; ENSMUST00000216433,ENSMUSP00000034865; ENSMUSP00000150277,13076,NC_000075.7,P00184;Q05A20
ENSMUSG00000032316,,,,,ENSMUSG00000032316,ENSMUST00000065330; ENSMUST00000213417; ENSMUST00000215109; ENSMUST00000215158; ENSMUST00000215233; ENSMUST00000215333; ENSMUST00000216095; ENSMUST00000216192; ENSMUST00000217409,ENSMUSP00000067341; ENSMUSP00000149179; ENSMUSP00000149250; ENSMUSP00000150048; ENSMUSP00000150411,102414,NC_000075.7,O35492
ENSMUSG00000032323,,,,,ENSMUSG00000032323,ENSMUST00000034874; ENSMUST00000188116; ENSMUST00000188539; ENSMUST00000188944,ENSMUSP00000034874; ENSMUSP00000140545; ENSMUSP00000140777,13070,NC_000075.7,Q9QZ82
ENSMUSG00000032330,,,,,ENSMUSG00000032330,ENSMUST00000034881; ENSMUST00000215452; ENSMUST00000215933,ENSMUSP00000034881,12866,NC_000075.7,P48771
ENSMUSG00000032348,,,,,ENSMUSG00000032348,ENSMUST00000034903; ENSMUST00000213215,ENSMUSP00000034903; ENSMUSP00000149763,14860,NC_000075.7,P24472
ENSMUSG00000032349,,,,,ENSMUSG00000032349,ENSMUST00000034904; ENSMUST00000133757; ENSMUST00000134072; ENSMUST00000148398,ENSMUSP00000034904; ENSMUSP00000120171; ENSMUSP00000123121,68801,NC_000075.7,Q8BHI7
ENSMUSG00000032350,,,,,ENSMUSG00000032350,ENSMUST00000034905; ENSMUST00000216315; ENSMUST00000216848,ENSMUSP00000034905,14629,NC_000075.7,P97494;Q3UNA7;Q3TEF1
ENSMUSG00000032359,,,,,ENSMUSG00000032359,ENSMUST00000034915; ENSMUST00000123320; ENSMUST00000127842; ENSMUST00000132718; ENSMUST00000142750; ENSMUST00000143172; ENSMUST00000151219; ENSMUST00000185459; ENSMUST00000186126; ENSMUST00000187437; ENSMUST00000190338,ENSMUSP00000034915; ENSMUSP00000114427; ENSMUSP00000117599; ENSMUSP00000122108; ENSMUSP00000140437,13036,NC_000075.7,P49935
ENSMUSG00000032373,,,,,ENSMUSG00000032373,ENSMUST00000071889; ENSMUST00000085420; ENSMUST00000123195; ENSMUST00000134829; ENSMUST00000152011; ENSMUST00000217394,ENSMUSP00000071786; ENSMUSP00000082541; ENSMUSP00000118030,76459,NC_000075.7,Q8CI85;A0A0R4J0W4;Q8K2J1;F6W0I8
ENSMUSG00000032376,,,,,ENSMUSG00000032376,ENSMUST00000034940; ENSMUST00000098613; ENSMUST00000124519; ENSMUST00000124694; ENSMUST00000127569; ENSMUST00000132255; ENSMUST00000139547; ENSMUST00000139952; ENSMUST00000150840; ENSMUST00000154476; ENSMUST00000174387,ENSMUSP00000096213; ENSMUSP00000115620; ENSMUSP00000122199; ENSMUSP00000134472,235441,NC_000075.7,Q91W36;Q3TT00;E9Q8W9;G3UZF0;D6RG67
ENSMUSG00000032380,,,,,ENSMUSG00000032380,ENSMUST00000034944; ENSMUST00000129442; ENSMUST00000129778; ENSMUST00000132987; ENSMUST00000238682,ENSMUSP00000034944; ENSMUSP00000117134; ENSMUSP00000158747,13143,NC_000075.7,Q8VDF3
ENSMUSG00000032384,,,,,ENSMUSG00000032384,ENSMUST00000034949; ENSMUST00000117849; ENSMUST00000124688; ENSMUST00000130798; ENSMUST00000136773; ENSMUST00000146069; ENSMUST00000153391; ENSMUST00000154589; ENSMUST00000205379; ENSMUST00000205489; ENSMUST00000205884; ENSMUST00000206048; ENSMUST00000206528; ENSMUST00000206594; ENSMUST00000206969; ENSMUST00000207167; ENSMUST00000208011,ENSMUSP00000034949; ENSMUSP00000113160; ENSMUSP00000119407; ENSMUSP00000145724; ENSMUSP00000145744; ENSMUSP00000145887; ENSMUSP00000145938; ENSMUSP00000145947; ENSMUSP00000146026; ENSMUSP00000146047; ENSMUSP00000146283; ENSMUSP00000146513; ENSMUSP00000146845,214897,NC_000075.7,Q8BTH8;A0A0U1RNW0;Q6P2B2;A0A0U1RPD7;A0A0U1RP94;A0A140LHR2;A0A0U1RPL1;D3Z2A2;A0A0U1RNX9;A0A0U1RPM8;A0A0U1RQ81;A0A140LIJ6
ENSMUSG00000032392,,,,,ENSMUSG00000032392,ENSMUST00000069000; ENSMUST00000213396; ENSMUST00000213766; ENSMUST00000216486; ENSMUST00000216702,ENSMUSP00000070098; ENSMUSP00000149927; ENSMUSP00000150318; ENSMUSP00000150997,214424,NC_000075.7,Q7TMM8
ENSMUSG00000032409,,,,,ENSMUSG00000032409,ENSMUST00000034980; ENSMUST00000185473; ENSMUST00000186061; ENSMUST00000186127; ENSMUST00000186524; ENSMUST00000186997; ENSMUST00000187356; ENSMUST00000188088; ENSMUST00000188164; ENSMUST00000189602; ENSMUST00000190644; ENSMUST00000191269; ENSMUST00000215311,ENSMUSP00000034980; ENSMUSP00000149953,245000,NC_000075.7,A0A1L1SSL9;E9QPK4
ENSMUSG00000032412,,,,,ENSMUSG00000032412,ENSMUST00000034983; ENSMUST00000187341; ENSMUST00000190045,ENSMUSP00000034983,11933,NC_000075.7,P97370;Q544Q7
ENSMUSG00000032417,,,,,ENSMUSG00000032417,ENSMUST00000034988; ENSMUST00000179212; ENSMUST00000185566,ENSMUSP00000034988; ENSMUSP00000137392; ENSMUSP00000139930,69519,NC_000075.7,Q9D9S3;Q14BN8
ENSMUSG00000032418,,,,,ENSMUSG00000032418,ENSMUST00000034989; ENSMUST00000185374; ENSMUST00000189847; ENSMUST00000189968,ENSMUSP00000034989; ENSMUSP00000140887,17436,NC_000075.7,P06801;Q3TQP6
ENSMUSG00000032420,,,,,ENSMUSG00000032420,ENSMUST00000034992; ENSMUST00000186789; ENSMUST00000187166; ENSMUST00000217134,ENSMUSP00000034992,23959,NC_000075.7,Q61503;Q0VEE0
ENSMUSG00000032437,,,,,ENSMUSG00000032437,ENSMUST00000035010,ENSMUSP00000035010,68292,NC_000075.7,Q3TDQ1;A0A0R4J0D3
ENSMUSG00000032440,,,,,ENSMUSG00000032440,ENSMUST00000035014; ENSMUST00000061101,ENSMUSP00000035014; ENSMUSP00000062333,21813,NC_000075.7,Q62312;Q8BQS9;Q543C0;Q3UG22
ENSMUSG00000032454,,,,,ENSMUSG00000032454,ENSMUST00000035029; ENSMUST00000187905; ENSMUST00000188779; ENSMUST00000189446,ENSMUSP00000035029; ENSMUSP00000140630; ENSMUSP00000140676,19660,NC_000075.7,Q08652;Q059R7
ENSMUSG00000032456,,,,,ENSMUSG00000032456,ENSMUST00000112935; ENSMUST00000112937; ENSMUST00000112938; ENSMUST00000129771; ENSMUST00000134253; ENSMUST00000141427,ENSMUSP00000108557; ENSMUSP00000108559; ENSMUSP00000108560; ENSMUSP00000141111,74080,NC_000075.7,Q99JR6
ENSMUSG00000032458,,,,,ENSMUSG00000032458,ENSMUST00000035033; ENSMUST00000186657; ENSMUST00000187151; ENSMUST00000187336; ENSMUST00000188913; ENSMUST00000189395,ENSMUSP00000035033,50797,NC_000075.7,O55029
ENSMUSG00000032462,,,,,ENSMUSG00000032462,ENSMUST00000035037; ENSMUST00000124723; ENSMUST00000136965,ENSMUSP00000035037; ENSMUSP00000121466; ENSMUSP00000138346,74769,NC_000075.7,Q8BTI9
ENSMUSG00000032478,,,,,ENSMUSG00000032478,ENSMUST00000035053; ENSMUST00000196312; ENSMUST00000196425; ENSMUST00000196762; ENSMUST00000196797; ENSMUST00000197627; ENSMUST00000198201; ENSMUST00000199181; ENSMUST00000199203; ENSMUST00000199758; ENSMUST00000200005; ENSMUST00000200091; ENSMUST00000200345; ENSMUST00000200468; ENSMUST00000200660,ENSMUSP00000035053; ENSMUSP00000142392; ENSMUSP00000142609; ENSMUSP00000142778; ENSMUSP00000143021; ENSMUSP00000143591,54369,NC_000075.7,O88425
ENSMUSG00000032480,,,,,ENSMUSG00000032480,ENSMUST00000062368; ENSMUST00000111991; ENSMUST00000165596; ENSMUST00000196171; ENSMUST00000196182; ENSMUST00000196455; ENSMUST00000196497; ENSMUST00000196788; ENSMUST00000196914; ENSMUST00000197182; ENSMUST00000197785; ENSMUST00000197928; ENSMUST00000197979; ENSMUST00000198026; ENSMUST00000198425; ENSMUST00000198443; ENSMUST00000198843; ENSMUST00000199332; ENSMUST00000199529; ENSMUST00000199693; ENSMUST00000199801; ENSMUST00000199835; ENSMUST00000200029; ENSMUST00000200066; ENSMUST00000200476; ENSMUST00000200593,ENSMUSP00000062622; ENSMUSP00000107622; ENSMUSP00000129174; ENSMUSP00000142489; ENSMUSP00000142549; ENSMUSP00000142636; ENSMUSP00000142659; ENSMUSP00000142836; ENSMUSP00000142846; ENSMUSP00000142952; ENSMUSP00000143272; ENSMUSP00000143371; ENSMUSP00000143529; ENSMUSP00000143607; ENSMUSP00000143616; ENSMUSP00000143700; ENSMUSP00000143751,72831,NC_000075.7,Q99PU8;A0A0G2JEN0;A0A0G2JGL8;A0A0G2JGD9;A0A0G2JGL1;A0A0G2JGU3;A0A0G2JEY7;A0A0G2JEN9;A0A0G2JFR1;A0A0G2JGY7;A0A0G2JE53
ENSMUSG00000032487,,,,,ENSMUSG00000032487,ENSMUST00000035065; ENSMUST00000190784,ENSMUSP00000035065; ENSMUSP00000139904,19225,NC_000067.7,Q05769
ENSMUSG00000032527,,,,,ENSMUSG00000032527,ENSMUST00000035116; ENSMUST00000142676; ENSMUST00000145091; ENSMUST00000149322; ENSMUST00000149998; ENSMUST00000189498,ENSMUSP00000035116; ENSMUSP00000118006; ENSMUSP00000123421; ENSMUSP00000140354,66904,NC_000075.7,Q99MN9;E9Q1J7;Q3UYS0;D3YZC1;A0A087WQV1
ENSMUSG00000032548,,,,,ENSMUSG00000032548,ENSMUST00000035148; ENSMUST00000185215; ENSMUST00000188664; ENSMUST00000190892,ENSMUSP00000035148; ENSMUSP00000140533,24059,NC_000075.7,Q9EPT5;Q3TED0
ENSMUSG00000032561,,,,,ENSMUSG00000032561,ENSMUST00000062723; ENSMUST00000112590; ENSMUST00000125800; ENSMUST00000128635; ENSMUST00000131084; ENSMUST00000215852,ENSMUSP00000059889; ENSMUSP00000108209; ENSMUSP00000150874,56318,NC_000075.7,Q8CE08
ENSMUSG00000032570,,,,,ENSMUSG00000032570,ENSMUST00000038118; ENSMUST00000085133; ENSMUST00000112557; ENSMUST00000112558; ENSMUST00000163879; ENSMUST00000175697; ENSMUST00000176036; ENSMUST00000176190; ENSMUST00000176363; ENSMUST00000176651; ENSMUST00000176656; ENSMUST00000176770; ENSMUST00000176787; ENSMUST00000176960; ENSMUST00000177000; ENSMUST00000177074; ENSMUST00000177189; ENSMUST00000177293; ENSMUST00000177334; ENSMUST00000186495; ENSMUST00000190802,ENSMUSP00000039103; ENSMUSP00000082220; ENSMUSP00000108177; ENSMUSP00000129617; ENSMUSP00000134764; ENSMUSP00000134902; ENSMUSP00000135010; ENSMUSP00000135170; ENSMUSP00000135320; ENSMUSP00000135646; ENSMUSP00000135732; ENSMUSP00000135802,235574,NC_000075.7,Q80XR2;Q3UZR5;Q8BMS7;Q69ZL4;H3BJJ5;H3BLC2;H3BIX7;H3BJ99;H3BKB1;H3BJY0;H3BL44;H3BLI6
ENSMUSG00000032571,,,,,ENSMUSG00000032571,ENSMUST00000065778; ENSMUST00000186943; ENSMUST00000187446; ENSMUST00000187573; ENSMUST00000188385; ENSMUST00000188784; ENSMUST00000189691; ENSMUST00000190358; ENSMUST00000191117; ENSMUST00000191268; ENSMUST00000214254,ENSMUSP00000067400; ENSMUSP00000139427; ENSMUSP00000139643; ENSMUSP00000140311; ENSMUSP00000140988,75669,NC_000075.7,Q8VD65
ENSMUSG00000032577,,,,,ENSMUSG00000032577,ENSMUST00000035194; ENSMUST00000128175; ENSMUST00000134682; ENSMUST00000141596; ENSMUST00000141674; ENSMUST00000143487; ENSMUST00000155860; ENSMUST00000192054,ENSMUSP00000035194; ENSMUSP00000120848; ENSMUSP00000141342,102626,NC_000075.7,Q3UMW7;Q09HN3
ENSMUSG00000032579,,,,,ENSMUSG00000032579,ENSMUST00000035196; ENSMUST00000118051; ENSMUST00000128396; ENSMUST00000128895; ENSMUST00000148165; ENSMUST00000194260; ENSMUST00000194735,ENSMUSP00000035196; ENSMUSP00000112882,69536,NC_000075.7,Q921L7
ENSMUSG00000032593,,,,,ENSMUSG00000032593,ENSMUST00000085060,ENSMUSP00000082137,320844,NC_000075.7,Q8C2S7
ENSMUSG00000032594,,,,,ENSMUSG00000032594,ENSMUST00000035214; ENSMUST00000164395; ENSMUST00000167159; ENSMUST00000175874; ENSMUST00000175908; ENSMUST00000176566; ENSMUST00000176613; ENSMUST00000176854; ENSMUST00000177158; ENSMUST00000177396,ENSMUSP00000035214; ENSMUSP00000128534; ENSMUSP00000134754; ENSMUSP00000135350; ENSMUSP00000135587; ENSMUSP00000135747; ENSMUSP00000141232,27399,NC_000075.7,Q6PD10
ENSMUSG00000032596,,,,,ENSMUSG00000032596,ENSMUST00000035216; ENSMUST00000075082; ENSMUST00000175933; ENSMUST00000176037; ENSMUST00000176340; ENSMUST00000176478; ENSMUST00000176673; ENSMUST00000176743; ENSMUST00000176842; ENSMUST00000176858; ENSMUST00000177039; ENSMUST00000177071; ENSMUST00000177096; ENSMUST00000177392; ENSMUST00000177494,ENSMUSP00000035216; ENSMUSP00000134910; ENSMUSP00000135584,74153,NC_000075.7,H3BJA7;Q9DBK7;H3BKY9
ENSMUSG00000032599,,,,,ENSMUSG00000032599,ENSMUST00000085018; ENSMUST00000192028; ENSMUST00000192226; ENSMUST00000192307; ENSMUST00000193055; ENSMUST00000193560; ENSMUST00000193634; ENSMUST00000193970; ENSMUST00000194782; ENSMUST00000194875; ENSMUST00000195514; ENSMUST00000195580,ENSMUSP00000082091; ENSMUSP00000141242; ENSMUSP00000141461; ENSMUSP00000141515; ENSMUSP00000141605; ENSMUSP00000141831; ENSMUSP00000142134; ENSMUSP00000142239; ENSMUSP00000142277,76500,NC_000075.7,Q80V72;Q6PAT6;A0A0A6YXT7;A0A0A6YWE4;A0A0A6YX46;A0A0A6YVS3;A0A0A6YWA1;A0A0A6YY18;A0A0A6YWM3
ENSMUSG00000032601,,,,,ENSMUSG00000032601,ENSMUST00000035220; ENSMUST00000192068; ENSMUST00000192344; ENSMUST00000193215; ENSMUST00000195263; ENSMUST00000195405,ENSMUSP00000035220; ENSMUSP00000141517; ENSMUSP00000141869; ENSMUSP00000142251,19087,NC_000075.7,A0A0A6YWE5;Q8K1M3;A0A0A6YX73;A0A0A6YY28
ENSMUSG00000032602,,,,,ENSMUSG00000032602,ENSMUST00000035222; ENSMUST00000194088; ENSMUST00000195260,ENSMUSP00000035222,57279,NC_000075.7,Q9Z2Z6
ENSMUSG00000032604,,,,,ENSMUSG00000032604,ENSMUST00000006838; ENSMUST00000131005; ENSMUST00000134939; ENSMUST00000136293; ENSMUST00000137655; ENSMUST00000137980; ENSMUST00000141201; ENSMUST00000141780; ENSMUST00000141903; ENSMUST00000144253; ENSMUST00000154311; ENSMUST00000154324; ENSMUST00000192065; ENSMUST00000192627; ENSMUST00000192659; ENSMUST00000194045; ENSMUST00000207062; ENSMUST00000207126; ENSMUST00000207180; ENSMUST00000207713; ENSMUST00000207734; ENSMUST00000207790; ENSMUST00000207810; ENSMUST00000207862; ENSMUST00000207947; ENSMUST00000208069; ENSMUST00000208074; ENSMUST00000208102; ENSMUST00000208162; ENSMUST00000208177; ENSMUST00000208214; ENSMUST00000208506; ENSMUST00000208581; ENSMUST00000208962,ENSMUSP00000006838; ENSMUSP00000121146; ENSMUSP00000122918; ENSMUSP00000142223; ENSMUSP00000146346; ENSMUSP00000146356; ENSMUSP00000146436; ENSMUSP00000146612; ENSMUSP00000146774; ENSMUSP00000146836; ENSMUSP00000146888; ENSMUSP00000146920; ENSMUSP00000146941; ENSMUSP00000147017; ENSMUSP00000147195; ENSMUSP00000147211; ENSMUSP00000147212; ENSMUSP00000147248,97541,NC_000075.7,Q8BML9
ENSMUSG00000032607,,,,,ENSMUSG00000032607,ENSMUST00000035230; ENSMUST00000160025; ENSMUST00000160675; ENSMUST00000162568,ENSMUSP00000035230,434437,NC_000075.7,Q8CFA2;A2RSW6
ENSMUSG00000032612,,,,,ENSMUSG00000032612,ENSMUST00000035237; ENSMUST00000192750; ENSMUST00000193093; ENSMUST00000193288; ENSMUST00000194034; ENSMUST00000194065; ENSMUST00000194224; ENSMUST00000194939; ENSMUST00000194959; ENSMUST00000195608,ENSMUSP00000035237; ENSMUSP00000141321; ENSMUSP00000141368; ENSMUSP00000141411; ENSMUSP00000141612,22258,NC_000075.7,P35123;Q3TPN5;A0A0A6YW28;A0A0A6YVY7;A0A0A6YWM7;A0A0A6YW63
ENSMUSG00000032615,,,,,ENSMUSG00000032615,ENSMUST00000102695; ENSMUST00000137695; ENSMUST00000149076; ENSMUST00000154699,ENSMUSP00000099756,103850,NC_000077.7,Q8VCE6
ENSMUSG00000032640,,,,,ENSMUSG00000032640,ENSMUST00000036372,ENSMUSP00000047487,269941,NC_000073.7,Q6ZQ11
ENSMUSG00000032649,,,,,ENSMUSG00000032649,ENSMUST00000044311; ENSMUST00000127586,ENSMUSP00000037532; ENSMUSP00000119210,269132,NC_000067.7,Q6NVG7
ENSMUSG00000032656,,,,,ENSMUSG00000032656,ENSMUST00000035278; ENSMUST00000102912; ENSMUST00000153044,ENSMUSP00000047946; ENSMUSP00000099976,320253,NC_000084.7,Q8BRX9;F8WJC4
ENSMUSG00000032667,,,,,ENSMUSG00000032667,ENSMUST00000057792; ENSMUST00000123838; ENSMUST00000135342; ENSMUST00000203882,ENSMUSP00000062670,330260,NC_000072.7,Q62086
ENSMUSG00000032715,,,,,ENSMUSG00000032715,ENSMUST00000040312; ENSMUST00000123145; ENSMUST00000124995,ENSMUSP00000041747,228775,NC_000068.8,Q8K4K2
ENSMUSG00000032718,,,,,ENSMUSG00000032718,ENSMUST00000047443,ENSMUSP00000038346,67729,NC_000072.7,Q9CR33
ENSMUSG00000032725,,,,,ENSMUSG00000032725,ENSMUST00000094141; ENSMUST00000209329; ENSMUST00000210598; ENSMUST00000211566; ENSMUST00000211604,ENSMUSP00000091692; ENSMUSP00000147283; ENSMUSP00000147920; ENSMUSP00000148085,14276,NC_000073.7,Q05685
ENSMUSG00000032737,,,,,ENSMUSG00000032737,ENSMUST00000035836; ENSMUST00000165052; ENSMUST00000185929; ENSMUST00000186316; ENSMUST00000209481; ENSMUST00000209861; ENSMUST00000210116; ENSMUST00000211436; ENSMUST00000211514,ENSMUSP00000048057; ENSMUSP00000132883; ENSMUSP00000139910; ENSMUSP00000147394; ENSMUSP00000148066,16332,NC_000073.7,Q6P549
