ID,#,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE,old,RetiredID,hmdb,kegg.compound,pubchem.compound,obo.chebi:CHEBI,lipidmaps,metSBOTerms
Asparaginyl-Cysteinyl-Cysteine[c],,Asparaginyl-Cysteinyl-Cysteine,,,,"1S/C10H18N4O5S2/c11-4(1-7(12)15)8(16)13-5(2-20)9(17)14-6(3-21)10(18)19/h4-6,20-21H,1-3,11H2,(H2,12,15)(H,13,16)(H,14,17)(H,18,19)/t4-,5-,6-/m0/s1",c,MMRNM1735c,0.0,Cx2304,Cx2304[c],,,,,,
Asparaginyl-Cysteinyl-Cysteine[s],,Asparaginyl-Cysteinyl-Cysteine,,,,"1S/C10H18N4O5S2/c11-4(1-7(12)15)8(16)13-5(2-20)9(17)14-6(3-21)10(18)19/h4-6,20-21H,1-3,11H2,(H2,12,15)(H,13,16)(H,14,17)(H,18,19)/t4-,5-,6-/m0/s1",s,MMRNM1735s,0.0,Cx2304,Cx2304[s],,,,,,
Asparaginyl-Methionyl-Proline[c],,Asparaginyl-Methionyl-Proline,,,C14H24N4O5S,,c,MMRNM1736c,0.0,Cx2305,Cx2305[c],,,,,,
Asparaginyl-Methionyl-Proline[s],,Asparaginyl-Methionyl-Proline,,,C14H24N4O5S,,s,MMRNM1736s,0.0,Cx2305,Cx2305[s],,,,,,
Asparaginyl-Phenylalanyl-Aspartate[c],,Asparaginyl-Phenylalanyl-Aspartate,,,,"1/C17H22N4O7/c18-10(7-13(19)22)15(25)20-11(6-9-4-2-1-3-5-9)16(26)21-12(17(27)28)8-14(23)24/h1-5,10-12H,6-8,18H2,(H2,19,22)(H,20,25)(H,21,26)(H,23,24)(H,27,28)/p-1/t10-,11+,12-/s2",c,MMRNM1737c,-1.0,Cx2306,Cx2306[c],,,,,,
Asparaginyl-Phenylalanyl-Aspartate[s],,Asparaginyl-Phenylalanyl-Aspartate,,,,"1/C17H22N4O7/c18-10(7-13(19)22)15(25)20-11(6-9-4-2-1-3-5-9)16(26)21-12(17(27)28)8-14(23)24/h1-5,10-12H,6-8,18H2,(H2,19,22)(H,20,25)(H,21,26)(H,23,24)(H,27,28)/p-1/t10-,11+,12-/s2",s,MMRNM1737s,-1.0,Cx2306,Cx2306[s],,,,,,
Asparaginyl-Phenylalanyl-Cysteine[c],,Asparaginyl-Phenylalanyl-Cysteine,,,,"1/C16H22N4O5S/c17-10(7-13(18)21)14(22)19-11(6-9-4-2-1-3-5-9)15(23)20-12(8-26)16(24)25/h1-5,10-12,26H,6-8,17H2,(H2,18,21)(H,19,22)(H,20,23)(H,24,25)/t10-,11+,12-/s2",c,MMRNM1738c,0.0,Cx2307,Cx2307[c],,,,,,
Asparaginyl-Phenylalanyl-Cysteine[s],,Asparaginyl-Phenylalanyl-Cysteine,,,,"1/C16H22N4O5S/c17-10(7-13(18)21)14(22)19-11(6-9-4-2-1-3-5-9)15(23)20-12(8-26)16(24)25/h1-5,10-12,26H,6-8,17H2,(H2,18,21)(H,19,22)(H,20,23)(H,24,25)/t10-,11+,12-/s2",s,MMRNM1738s,0.0,Cx2307,Cx2307[s],,,,,,
Asparaginyl-Tyrosyl-Glycine[c],,Asparaginyl-Tyrosyl-Glycine,,,,"1/C15H20N4O6/c16-10(6-12(17)21)14(24)19-11(15(25)18-7-13(22)23)5-8-1-3-9(20)4-2-8/h1-4,10-11,20H,5-7,16H2,(H2,17,21)(H,18,25)(H,19,24)(H,22,23)/t10-,11+/s2",c,MMRNM1739c,0.0,Cx2308,Cx2308[c],,,,,,
Asparaginyl-Tyrosyl-Glycine[s],,Asparaginyl-Tyrosyl-Glycine,,,,"1/C15H20N4O6/c16-10(6-12(17)21)14(24)19-11(15(25)18-7-13(22)23)5-8-1-3-9(20)4-2-8/h1-4,10-11,20H,5-7,16H2,(H2,17,21)(H,18,25)(H,19,24)(H,22,23)/t10-,11+/s2",s,MMRNM1739s,0.0,Cx2308,Cx2308[s],,,,,,
Asparaginyl-Tyrosyl-Phenylalanine[c],,Asparaginyl-Tyrosyl-Phenylalanine,,,,"1/C22H26N4O6/c23-16(12-19(24)28)20(29)25-17(10-14-6-8-15(27)9-7-14)21(30)26-18(22(31)32)11-13-4-2-1-3-5-13/h1-9,16-18,27H,10-12,23H2,(H2,24,28)(H,25,29)(H,26,30)(H,31,32)/t16-,17+,18-/s2",c,MMRNM1740c,0.0,Cx2309,Cx2309[c],,,,,,
Asparaginyl-Tyrosyl-Phenylalanine[s],,Asparaginyl-Tyrosyl-Phenylalanine,,,,"1/C22H26N4O6/c23-16(12-19(24)28)20(29)25-17(10-14-6-8-15(27)9-7-14)21(30)26-18(22(31)32)11-13-4-2-1-3-5-13/h1-9,16-18,27H,10-12,23H2,(H2,24,28)(H,25,29)(H,26,30)(H,31,32)/t16-,17+,18-/s2",s,MMRNM1740s,0.0,Cx2309,Cx2309[s],,,,,,
Asparaginyl-Tyrosyl-Threonine[c],,Asparaginyl-Tyrosyl-Threonine,,,,"1/C17H24N4O7/c1-8(22)14(17(27)28)21-16(26)12(6-9-2-4-10(23)5-3-9)20-15(25)11(18)7-13(19)24/h2-5,8,11-12,14,22-23H,6-7,18H2,1H3,(H2,19,24)(H,20,25)(H,21,26)(H,27,28)/t8-,11+,12-,14+/s2",c,MMRNM1741c,0.0,Cx2310,Cx2310[c],,,,,,
Asparaginyl-Tyrosyl-Threonine[s],,Asparaginyl-Tyrosyl-Threonine,,,,"1/C17H24N4O7/c1-8(22)14(17(27)28)21-16(26)12(6-9-2-4-10(23)5-3-9)20-15(25)11(18)7-13(19)24/h2-5,8,11-12,14,22-23H,6-7,18H2,1H3,(H2,19,24)(H,20,25)(H,21,26)(H,27,28)/t8-,11+,12-,14+/s2",s,MMRNM1741s,0.0,Cx2310,Cx2310[s],,,,,,
aspartate[c],,aspartate,,bigg.metabolite/asp__L;kegg.compound/C00049;hmdb/HMDB00191;chebi/CHEBI:17053;pubchem.compound/5960;vmhmetabolite/asp_L;metanetx.chemical/MNXM42;sbo/SBO:0000247,C4H7NO4,,c,MMRNM1742c,,C00049,C00049[c],HMDB00191,C00049,5960,CHEBI:17053,,SBO:0000247
aspartate[l],,aspartate,,bigg.metabolite/asp__L;kegg.compound/C00049;hmdb/HMDB00191;chebi/CHEBI:17053;pubchem.compound/5960;vmhmetabolite/asp_L;metanetx.chemical/MNXM42;sbo/SBO:0000247,C4H7NO4,,l,MMRNM1742l,,C00049,C00049[l],HMDB00191,C00049,5960,CHEBI:17053,,SBO:0000247
aspartate[m],,aspartate,,bigg.metabolite/asp__L;kegg.compound/C00049;hmdb/HMDB00191;chebi/CHEBI:17053;pubchem.compound/5960;vmhmetabolite/asp_L;metanetx.chemical/MNXM42;sbo/SBO:0000247,C4H7NO4,,m,MMRNM1742m,,C00049,C00049[m],HMDB00191,C00049,5960,CHEBI:17053,,SBO:0000247
aspartate[p],,aspartate,,bigg.metabolite/asp__L;kegg.compound/C00049;hmdb/HMDB00191;chebi/CHEBI:17053;pubchem.compound/5960;vmhmetabolite/asp_L;metanetx.chemical/MNXM42;sbo/SBO:0000247,C4H7NO4,,p,MMRNM1742p,,C00049,C00049[p],HMDB00191,C00049,5960,CHEBI:17053,,SBO:0000247
aspartate[s],,aspartate,,bigg.metabolite/asp__L;kegg.compound/C00049;hmdb/HMDB00191;chebi/CHEBI:17053;pubchem.compound/5960;vmhmetabolite/asp_L;metanetx.chemical/MNXM42;sbo/SBO:0000247,C4H7NO4,,s,MMRNM1742s,,C00049,C00049[s],HMDB00191,C00049,5960,CHEBI:17053,,SBO:0000247
Aspartyl-Asparaginyl-Glutamate[c],,Aspartyl-Asparaginyl-Glutamate,,,,"1/C13H20N4O9/c14-5(3-10(21)22)11(23)17-7(4-8(15)18)12(24)16-6(13(25)26)1-2-9(19)20/h5-7H,1-4,14H2,(H2,15,18)(H,16,24)(H,17,23)(H,19,20)(H,21,22)(H,25,26)/p-2/t5-,6-,7+/s2",c,MMRNM1743c,-2.0,Cx2314,Cx2314[c],,,,,,
Aspartyl-Asparaginyl-Glutamate[s],,Aspartyl-Asparaginyl-Glutamate,,,,"1/C13H20N4O9/c14-5(3-10(21)22)11(23)17-7(4-8(15)18)12(24)16-6(13(25)26)1-2-9(19)20/h5-7H,1-4,14H2,(H2,15,18)(H,16,24)(H,17,23)(H,19,20)(H,21,22)(H,25,26)/p-2/t5-,6-,7+/s2",s,MMRNM1743s,-2.0,Cx2314,Cx2314[s],,,,,,
Aspartyl-Glutamate[c],,Aspartyl-Glutamate,,,C9H12N2O7,,c,MMRNM1744c,-2.0,Cx2315,Cx2315[c],,,,,,
Aspartyl-Glutamate[s],,Aspartyl-Glutamate,,,C9H12N2O7,,s,MMRNM1744s,-2.0,Cx2315,Cx2315[s],,,,,,
Aspartyl-Glutamyl-Proline[c],,Aspartyl-Glutamyl-Proline,,,C14H19N3O8,,c,MMRNM1745c,-2.0,Cx2316,Cx2316[c],,,,,,
Aspartyl-Glutamyl-Proline[s],,Aspartyl-Glutamyl-Proline,,,C14H19N3O8,,s,MMRNM1745s,-2.0,Cx2316,Cx2316[s],,,,,,
Aspartyl-Glutamyl-Tryptophan[c],,Aspartyl-Glutamyl-Tryptophan,,,,"1/C20H24N4O8/c21-12(8-17(27)28)18(29)23-14(5-6-16(25)26)19(30)24-15(20(31)32)7-10-9-22-13-4-2-1-3-11(10)13/h1-4,9,12,14-15,22H,5-8,21H2,(H,23,29)(H,24,30)(H,25,26)(H,27,28)(H,31,32)/p-2/t12-,14+,15-/s2",c,MMRNM1746c,-2.0,Cx2317,Cx2317[c],,,,,,
Aspartyl-Glutamyl-Tryptophan[s],,Aspartyl-Glutamyl-Tryptophan,,,,"1/C20H24N4O8/c21-12(8-17(27)28)18(29)23-14(5-6-16(25)26)19(30)24-15(20(31)32)7-10-9-22-13-4-2-1-3-11(10)13/h1-4,9,12,14-15,22H,5-8,21H2,(H,23,29)(H,24,30)(H,25,26)(H,27,28)(H,31,32)/p-2/t12-,14+,15-/s2",s,MMRNM1746s,-2.0,Cx2317,Cx2317[s],,,,,,
Aspartyl-Histidyl-Cysteine[c],,Aspartyl-Histidyl-Cysteine,,,,"1/C13H19N5O6S/c14-7(2-10(19)20)11(21)17-8(1-6-3-15-5-16-6)12(22)18-9(4-25)13(23)24/h3,5,7-9,25H,1-2,4,14H2,(H,15,16)(H,17,21)(H,18,22)(H,19,20)(H,23,24)/p-1/t7-,8+,9-/s2",c,MMRNM1747c,-1.0,Cx2318,Cx2318[c],,,,,,
Aspartyl-Histidyl-Cysteine[s],,Aspartyl-Histidyl-Cysteine,,,,"1/C13H19N5O6S/c14-7(2-10(19)20)11(21)17-8(1-6-3-15-5-16-6)12(22)18-9(4-25)13(23)24/h3,5,7-9,25H,1-2,4,14H2,(H,15,16)(H,17,21)(H,18,22)(H,19,20)(H,23,24)/p-1/t7-,8+,9-/s2",s,MMRNM1747s,-1.0,Cx2318,Cx2318[s],,,,,,
Aspartyl-Histidyl-Proline[c],,Aspartyl-Histidyl-Proline,,,,"1/C15H21N5O6/c16-9(5-12(21)22)13(23)19-10(4-8-6-17-7-18-8)14(24)20-3-1-2-11(20)15(25)26/h6-7,9-11H,1-5,16H2,(H,17,18)(H,19,23)(H,21,22)(H,25,26)/p-1/t9-,10+,11+/s2",c,MMRNM1748c,-1.0,Cx2319,Cx2319[c],,,,,,
Aspartyl-Histidyl-Proline[s],,Aspartyl-Histidyl-Proline,,,,"1/C15H21N5O6/c16-9(5-12(21)22)13(23)19-10(4-8-6-17-7-18-8)14(24)20-3-1-2-11(20)15(25)26/h6-7,9-11H,1-5,16H2,(H,17,18)(H,19,23)(H,21,22)(H,25,26)/p-1/t9-,10+,11+/s2",s,MMRNM1748s,-1.0,Cx2319,Cx2319[s],,,,,,
Aspartyl-Lysyl-Glutamate[c],,Aspartyl-Lysyl-Glutamate,,,,"1/C15H26N4O8/c16-6-2-1-3-9(18-13(24)8(17)7-12(22)23)14(25)19-10(15(26)27)4-5-11(20)21/h8-10H,1-7,16-17H2,(H,18,24)(H,19,25)(H,20,21)(H,22,23)(H,26,27)/p-1/t8-,9+,10-/s2",c,MMRNM1749c,-1.0,Cx2320,Cx2320[c],,,,,,
Aspartyl-Lysyl-Glutamate[s],,Aspartyl-Lysyl-Glutamate,,,,"1/C15H26N4O8/c16-6-2-1-3-9(18-13(24)8(17)7-12(22)23)14(25)19-10(15(26)27)4-5-11(20)21/h8-10H,1-7,16-17H2,(H,18,24)(H,19,25)(H,20,21)(H,22,23)(H,26,27)/p-1/t8-,9+,10-/s2",s,MMRNM1749s,-1.0,Cx2320,Cx2320[s],,,,,,
Aspartyl-Lysyl-Histidine[c],,Aspartyl-Lysyl-Histidine,,,,"1/C16H26N6O6/c17-4-2-1-3-11(21-14(25)10(18)6-13(23)24)15(26)22-12(16(27)28)5-9-7-19-8-20-9/h7-8,10-12H,1-6,17-18H2,(H,19,20)(H,21,25)(H,22,26)(H,23,24)(H,27,28)/t10-,11+,12-/s2",c,MMRNM1750c,0.0,Cx2321,Cx2321[c],,,,,,
Aspartyl-Lysyl-Histidine[s],,Aspartyl-Lysyl-Histidine,,,,"1/C16H26N6O6/c17-4-2-1-3-11(21-14(25)10(18)6-13(23)24)15(26)22-12(16(27)28)5-9-7-19-8-20-9/h7-8,10-12H,1-6,17-18H2,(H,19,20)(H,21,25)(H,22,26)(H,23,24)(H,27,28)/t10-,11+,12-/s2",s,MMRNM1750s,0.0,Cx2321,Cx2321[s],,,,,,
Aspartyl-Methionyl-Aspartate[c],,Aspartyl-Methionyl-Aspartate,,,,"1/C13H21N3O8S/c1-25-3-2-7(15-11(21)6(14)4-9(17)18)12(22)16-8(13(23)24)5-10(19)20/h6-8H,2-5,14H2,1H3,(H,15,21)(H,16,22)(H,17,18)(H,19,20)(H,23,24)/p-2/t6-,7+,8-/s2",c,MMRNM1751c,-2.0,Cx2322,Cx2322[c],,,,,,
Aspartyl-Methionyl-Aspartate[s],,Aspartyl-Methionyl-Aspartate,,,,"1/C13H21N3O8S/c1-25-3-2-7(15-11(21)6(14)4-9(17)18)12(22)16-8(13(23)24)5-10(19)20/h6-8H,2-5,14H2,1H3,(H,15,21)(H,16,22)(H,17,18)(H,19,20)(H,23,24)/p-2/t6-,7+,8-/s2",s,MMRNM1751s,-2.0,Cx2322,Cx2322[s],,,,,,
Aspartyl-Prolyl-Lysine[c],,Aspartyl-Prolyl-Lysine,,,,"1/C15H26N4O6/c16-6-2-1-4-10(15(24)25)18-13(22)11-5-3-7-19(11)14(23)9(17)8-12(20)21/h9-11H,1-8,16-17H2,(H,18,22)(H,20,21)(H,24,25)/t9-,10-,11-/s2",c,MMRNM1752c,0.0,Cx2323,Cx2323[c],,,,,,
Aspartyl-Prolyl-Lysine[s],,Aspartyl-Prolyl-Lysine,,,,"1/C15H26N4O6/c16-6-2-1-4-10(15(24)25)18-13(22)11-5-3-7-19(11)14(23)9(17)8-12(20)21/h9-11H,1-8,16-17H2,(H,18,22)(H,20,21)(H,24,25)/t9-,10-,11-/s2",s,MMRNM1752s,0.0,Cx2323,Cx2323[s],,,,,,
Aspartyl-Valyl-Asparagine[c],,Aspartyl-Valyl-Asparagine,,,,"1/C13H22N4O7/c1-5(2)10(17-11(21)6(14)3-9(19)20)12(22)16-7(13(23)24)4-8(15)18/h5-7,10H,3-4,14H2,1-2H3,(H2,15,18)(H,16,22)(H,17,21)(H,19,20)(H,23,24)/p-1/t6-,7-,10+/s2",c,MMRNM1753c,-1.0,Cx2324,Cx2324[c],,,,,,
Aspartyl-Valyl-Asparagine[s],,Aspartyl-Valyl-Asparagine,,,,"1/C13H22N4O7/c1-5(2)10(17-11(21)6(14)3-9(19)20)12(22)16-7(13(23)24)4-8(15)18/h5-7,10H,3-4,14H2,1-2H3,(H2,15,18)(H,16,22)(H,17,21)(H,19,20)(H,23,24)/p-1/t6-,7-,10+/s2",s,MMRNM1753s,-1.0,Cx2324,Cx2324[s],,,,,,
atorvastatin-acid[c],,atorvastatin-acid,,,C33H34FN2O5,,c,MMRNM1754c,-1.0,Cx2325,Cx2325[c],,,,,,
atorvastatin-acid[r],,atorvastatin-acid,,,C33H34FN2O5,,r,MMRNM1754r,-1.0,Cx2325,Cx2325[r],,,,,,
atorvastatin-acid[s],,atorvastatin-acid,,,C33H34FN2O5,,s,MMRNM1754s,-1.0,Cx2325,Cx2325[s],,,,,,
atorvastatin-acyl-glucuronide / G2[r],,atorvastatin-acyl-glucuronide / G2,,,C39H42FN2O11,,r,MMRNM1755r,-1.0,Cx2326,Cx2326[r],,,,,,
atorvastatin-ether-glucuronide -G1[r],,atorvastatin-ether-glucuronide -G1,,,C45H48FN2O17,,r,MMRNM1756r,-3.0,Cx2327,Cx2327[r],,,,,,
atorvastatin-lactone-ether-glucuronide / G3[r],,atorvastatin-lactone-ether-glucuronide / G3,,,C39H40FN2O10,,r,MMRNM1757r,-1.0,Cx2329,Cx2329[r],,,,,,
atorvastatin-lactone[c],,atorvastatin-lactone,,,C33H33FN2O4,,c,MMRNM1758c,0.0,Cx2328,Cx2328[c],,,,,,
atorvastatin-lactone[r],,atorvastatin-lactone,,,C33H33FN2O4,,r,MMRNM1758r,0.0,Cx2328,Cx2328[r],,,,,,
atorvastatin-lactone[s],,atorvastatin-lactone,,,C33H33FN2O4,,s,MMRNM1758s,0.0,Cx2328,Cx2328[s],,,,,,
ATP[c],,ATP,,bigg.metabolite/atp;kegg.compound/C00002;hmdb/HMDB00538;chebi/CHEBI:15422;pubchem.compound/5957;vmhmetabolite/atp;metanetx.chemical/MNXM3;sbo/SBO:0000247,C10H16N5O13P3,,c,MMRNM1759c,,C00002,C00002[c],HMDB00538,C00002,5957,CHEBI:15422,,SBO:0000247
ATP[g],,ATP,,bigg.metabolite/atp;kegg.compound/C00002;hmdb/HMDB00538;chebi/CHEBI:15422;pubchem.compound/5957;vmhmetabolite/atp;metanetx.chemical/MNXM3;sbo/SBO:0000247,C10H16N5O13P3,,g,MMRNM1759g,,C00002,C00002[g],HMDB00538,C00002,5957,CHEBI:15422,,SBO:0000247
ATP[l],,ATP,,bigg.metabolite/atp;kegg.compound/C00002;hmdb/HMDB00538;chebi/CHEBI:15422;pubchem.compound/5957;vmhmetabolite/atp;metanetx.chemical/MNXM3;sbo/SBO:0000247,C10H16N5O13P3,,l,MMRNM1759l,,C00002,C00002[l],HMDB00538,C00002,5957,CHEBI:15422,,SBO:0000247
ATP[m],,ATP,,bigg.metabolite/atp;kegg.compound/C00002;hmdb/HMDB00538;chebi/CHEBI:15422;pubchem.compound/5957;vmhmetabolite/atp;metanetx.chemical/MNXM3;sbo/SBO:0000247,C10H16N5O13P3,,m,MMRNM1759m,,C00002,C00002[m],HMDB00538,C00002,5957,CHEBI:15422,,SBO:0000247
ATP[n],,ATP,,bigg.metabolite/atp;kegg.compound/C00002;hmdb/HMDB00538;chebi/CHEBI:15422;pubchem.compound/5957;vmhmetabolite/atp;metanetx.chemical/MNXM3;sbo/SBO:0000247,C10H16N5O13P3,,n,MMRNM1759n,,C00002,C00002[n],HMDB00538,C00002,5957,CHEBI:15422,,SBO:0000247
ATP[p],,ATP,,bigg.metabolite/atp;kegg.compound/C00002;hmdb/HMDB00538;chebi/CHEBI:15422;pubchem.compound/5957;vmhmetabolite/atp;metanetx.chemical/MNXM3;sbo/SBO:0000247,C10H16N5O13P3,,p,MMRNM1759p,,C00002,C00002[p],HMDB00538,C00002,5957,CHEBI:15422,,SBO:0000247
ATP[r],,ATP,,bigg.metabolite/atp;kegg.compound/C00002;hmdb/HMDB00538;chebi/CHEBI:15422;pubchem.compound/5957;vmhmetabolite/atp;metanetx.chemical/MNXM3;sbo/SBO:0000247,C10H16N5O13P3,,r,MMRNM1759r,,C00002,C00002[r],HMDB00538,C00002,5957,CHEBI:15422,,SBO:0000247
ATP[s],,ATP,,bigg.metabolite/atp;kegg.compound/C00002;hmdb/HMDB00538;chebi/CHEBI:15422;pubchem.compound/5957;vmhmetabolite/atp;metanetx.chemical/MNXM3;sbo/SBO:0000247,C10H16N5O13P3,,s,MMRNM1759s,,C00002,C00002[s],HMDB00538,C00002,5957,CHEBI:15422,,SBO:0000247
azelaic acid[c],,azelaic acid,,kegg.compound/C08261;hmdb/HMDB00784;chebi/CHEBI:48131;pubchem.compound/2266;lipidmaps/LMFA01170054;vmhmetabolite/C08261;metanetx.chemical/MNXM164574;sbo/SBO:0000247,C9H16O4,,c,MMRNM1760c,,C08261,C08261[c],HMDB00784,C08261,2266,CHEBI:48131,LMFA01170054,SBO:0000247
behenic acid[c],,behenic acid,,kegg.compound/C08281;hmdb/HMDB00944;chebi/CHEBI:28941;pubchem.compound/8215;lipidmaps/LMFA01010022;vmhmetabolite/docosac;metanetx.chemical/MNXM162817;metanetx.chemical/MNXM7102;sbo/SBO:0000247,C22H44O2,,c,MMRNM1761c,,C08281,C08281[c],HMDB00944,C08281,8215,CHEBI:28941,LMFA01010022,SBO:0000247
behenic acid[l],,behenic acid,,kegg.compound/C08281;hmdb/HMDB00944;chebi/CHEBI:28941;pubchem.compound/8215;lipidmaps/LMFA01010022;vmhmetabolite/docosac;metanetx.chemical/MNXM162817;metanetx.chemical/MNXM7102;sbo/SBO:0000247,C22H44O2,,l,MMRNM1761l,,C08281,C08281[l],HMDB00944,C08281,8215,CHEBI:28941,LMFA01010022,SBO:0000247
behenic acid[r],,behenic acid,,kegg.compound/C08281;hmdb/HMDB00944;chebi/CHEBI:28941;pubchem.compound/8215;lipidmaps/LMFA01010022;vmhmetabolite/docosac;metanetx.chemical/MNXM162817;metanetx.chemical/MNXM7102;sbo/SBO:0000247,C22H44O2,,r,MMRNM1761r,,C08281,C08281[r],HMDB00944,C08281,8215,CHEBI:28941,LMFA01010022,SBO:0000247
behenic acid[s],,behenic acid,,kegg.compound/C08281;hmdb/HMDB00944;chebi/CHEBI:28941;pubchem.compound/8215;lipidmaps/LMFA01010022;vmhmetabolite/docosac;metanetx.chemical/MNXM162817;metanetx.chemical/MNXM7102;sbo/SBO:0000247,C22H44O2,,s,MMRNM1761s,,C08281,C08281[s],HMDB00944,C08281,8215,CHEBI:28941,LMFA01010022,SBO:0000247
"benzo[a]pyrene-4,5-oxide[c]",,"benzo[a]pyrene-4,5-oxide",,kegg.compound/C14851;pubchem.compound/37786;vmhmetabolite/C14851;metanetx.chemical/MNXM7104;sbo/SBO:0000247,C20H12O,,c,MMRNM1762c,,C14851,C14851[c],,C14851,37786,,,SBO:0000247
"benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide[c]",,"benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide",,kegg.compound/C14853;vmhmetabolite/M01376;metanetx.chemical/MNXM10781;sbo/SBO:0000247,C20H14O3,,c,MMRNM1763c,,C14853,C14853[c],,C14853,,,,SBO:0000247
"benzo[a]pyrene-7,8-diol[c]",,"benzo[a]pyrene-7,8-diol",,kegg.compound/C14852;vmhmetabolite/M01377;metanetx.chemical/MNXM4477;sbo/SBO:0000247,C20H14O2,,c,MMRNM1764c,,C14852,C14852[c],,C14852,,,,SBO:0000247
"benzo[a]pyrene-7,8-oxide[c]",,"benzo[a]pyrene-7,8-oxide",,kegg.compound/C14850;vmhmetabolite/M01378;metanetx.chemical/MNXM7105;sbo/SBO:0000247,C20H12O,,c,MMRNM1765c,,C14850,C14850[c],,C14850,,,,SBO:0000247
"benzo[a]pyrene-9,10-oxide[c]",,"benzo[a]pyrene-9,10-oxide",,kegg.compound/C14849;pubchem.compound/37456;vmhmetabolite/C14849;metanetx.chemical/MNXM7106;sbo/SBO:0000247,C20H12O,,c,MMRNM1766c,,C14849,C14849[c],,C14849,37456,,,SBO:0000247
benzo[a]pyrene[c],,benzo[a]pyrene,,kegg.compound/C07535;chebi/CHEBI:29865;pubchem.compound/2336;vmhmetabolite/C07535;metanetx.chemical/MNXM3216;sbo/SBO:0000247,C20H12,,c,MMRNM1767c,,C07535,C07535[c],,C07535,2336,CHEBI:29865,,SBO:0000247
benzo[a]pyrene[s],,benzo[a]pyrene,,kegg.compound/C07535;chebi/CHEBI:29865;pubchem.compound/2336;vmhmetabolite/C07535;metanetx.chemical/MNXM3216;sbo/SBO:0000247,C20H12,,s,MMRNM1767s,,C07535,C07535[s],,C07535,2336,CHEBI:29865,,SBO:0000247
benzoate[c],,benzoate,,bigg.metabolite/bz;kegg.compound/C00180;chebi/CHEBI:30746;vmhmetabolite/bz;metanetx.chemical/MNXM217;sbo/SBO:0000247,C7H6O2,,c,MMRNM1768c,,C00180,C00180[c],,C00180,,CHEBI:30746,,SBO:0000247
benzoate[r],,benzoate,,bigg.metabolite/bz;kegg.compound/C00180;chebi/CHEBI:30746;vmhmetabolite/bz;metanetx.chemical/MNXM217;sbo/SBO:0000247,C7H6O2,,r,MMRNM1768r,,C00180,C00180[r],,C00180,,CHEBI:30746,,SBO:0000247
benzothiazine[c],,benzothiazine,,,C11H12N2O3S,,c,MMRNM1769c,,Cx755,Cx755[c],,,,,,
"Beta-1,4-Mannose-N-Acetylglucosamine[c]",,"Beta-1,4-Mannose-N-Acetylglucosamine",,hmdb/HMDB06535;pubchem.compound/53477853,,"1S/C14H25NO11/c1-4(18)15-7-9(20)12(6(3-17)24-13(7)23)26-14-11(22)10(21)8(19)5(2-16)25-14/h5-14,16-17,19-23H,2-3H2,1H3,(H,15,18)/t5-,6-,7-,8-,9-,10+,11+,12-,13-,14-/m1/s1",c,MMRNM1770c,0.0,Cx756,Cx756[c],HMDB06535,,53477853,,,
"Beta-1,4-Mannose-N-Acetylglucosamine[l]",,"Beta-1,4-Mannose-N-Acetylglucosamine",,hmdb/HMDB06535;pubchem.compound/53477853,,"1S/C14H25NO11/c1-4(18)15-7-9(20)12(6(3-17)24-13(7)23)26-14-11(22)10(21)8(19)5(2-16)25-14/h5-14,16-17,19-23H,2-3H2,1H3,(H,15,18)/t5-,6-,7-,8-,9-,10+,11+,12-,13-,14-/m1/s1",l,MMRNM1770l,0.0,Cx756,Cx756[l],HMDB06535,,53477853,,,
Beta-Alanine[c],,Beta-Alanine,,bigg.metabolite/ala_B;kegg.compound/C00099;hmdb/HMDB00056;chebi/CHEBI:16958;pubchem.compound/239;vmhmetabolite/ala_B;metanetx.chemical/MNXM144;sbo/SBO:0000247,,"1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",c,MMRNM1771c,0.0,C00099,C00099[c],HMDB00056,C00099,239,CHEBI:16958,,SBO:0000247
Beta-Alanine[m],,Beta-Alanine,,bigg.metabolite/ala_B;kegg.compound/C00099;hmdb/HMDB00056;chebi/CHEBI:16958;pubchem.compound/239;vmhmetabolite/ala_B;metanetx.chemical/MNXM144;sbo/SBO:0000247,,"1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",m,MMRNM1771m,0.0,C00099,C00099[m],HMDB00056,C00099,239,CHEBI:16958,,SBO:0000247
Beta-Alanine[s],,Beta-Alanine,,bigg.metabolite/ala_B;kegg.compound/C00099;hmdb/HMDB00056;chebi/CHEBI:16958;pubchem.compound/239;vmhmetabolite/ala_B;metanetx.chemical/MNXM144;sbo/SBO:0000247,,"1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",s,MMRNM1771s,0.0,C00099,C00099[s],HMDB00056,C00099,239,CHEBI:16958,,SBO:0000247
Beta-Aminopropion Aldehyde[c],,Beta-Aminopropion Aldehyde,,kegg.compound/C05665;pubchem.compound/75,,"1S/C3H7NO/c4-2-1-3-5/h3H,1-2,4H2/p+1",c,MMRNM1772c,1.0,Cx2330,Cx2330[c],,C05665,75,,,
